module,level,num_communities,modularity
Louvain_recursive,1,24,0.378055
Louvain_recursive,2,111,0.273861
Louvain_hier_contractive,1,24,0.378055
Louvain_hier_contractive,2,24,0.378055
HSBM_multi,1,3,0.071392
HSBM_multi,2,10,0.071243
HSBM_multi,3,24,0.040667
HSBM_multi,4,34,0.025465
Louvain_recursive,1,24,0.378055
Louvain_recursive,2,111,0.273861
Louvain_recursive,1,24,0.378055
Louvain_recursive,2,111,0.273861
Louvain_hier_contractive,1,24,0.378055
Louvain_hier_contractive,2,24,0.378055
Louvain_recursive,1,24,0.378055
Louvain_recursive,2,111,0.273861
Louvain_hier_contractive,1,24,0.378055
Louvain_hier_contractive,2,24,0.378055
HSBM_multi,1,3,0.071392
HSBM_multi,2,10,0.071243
HSBM_multi,3,24,0.040667
HSBM_multi,4,34,0.025465
ls_multi,1,3,0.049834
ls_multi,2,4,0.049834
ls_multi,3,12,0.049687
ls_multi,4,20,0.049541
ls_multi,5,28,0.049395
